Doctor Name,Degree(s),Affiliated Hospital Name,Affiliated Hospital Address
"Aalangdong, Mary-Anne Nontaa","M.B., Ch.B. ( UDS-SMHS)",SDA Hospital,"P. O. Box TL 250, Tamale"
"Abaah, Joshua Akurugu","M.B., Ch.B. ( UDS-SMHS)",Tamale Teaching Hospital,"P. O. Box TL 16, Tamale"
"Ababio-Danso, Ben Nyamah","M.B., Ch.B (KNUST-SMS),Dip. In Ophthalmology (WACS)",Catholic Hospital,"P. O. Box 10, Jachie, Ashanti"
"Ababio, Charles","M.B., Ch.B (U.G.M.S)",Dept. of Emergency Medicine,
"Ababio, Elaine Korkor","M.B., Ch.B (KNUST-SMS)",Ghana Police Hospital,
"Ababio, Hanson","M. B., Ch.B ((KNUST-SMS)",University Hospital,
"Ababio, Matilda Koomson",B.D.S (U.G.D.S),Dept. of Dentistry,"P. O. Box KS 1934, Kumasi"
"Ababio, Nana Nketia Apau","M.B., Ch.B (KNUST-SMS)",Cape Coast Teaching Hospital,"P. O.Box CT 1363,CapeCoast"
"Abadoo-Brew, Anna","M.B., Ch.B (KNUST-SMS)",Cape Coast Teaching Hospital,"P. O.Box CT 1363,CapeCoast"
"Abadoo-Brew, Hannah","M. B., Ch.B (UCC-SMS)",,
"Abag-Dem, Aboliwen Lynette","M.B., Ch.B. ( UDS-SMHS)",Tamale Teaching Hospital,"P. O. Box TL 16, Tamale"
"Abagre, Dominic Aganda Yam","M.B., Ch.B. (KNUST-SMS)",SDA Hospital,"P. O. Box 24, Wiamoase, A/R"
"Abaidoo, Nana Esi Abedua","M.B., Ch.B. (KNUST-SMS),","Department of Anatomy, KNUST-SMS",
"Abaka, Charlotte Charity",D.D.S (Univ. of Frankfurt),Enec Dental Clinic,"P. O. Box 68, KNUST, Kumasi"
"Abakah-Quansah, Elijah","M.B., Ch.B. (UCC-SMS)",Holy Family Hospital,"P. O. Box 36, Techiman"
"Abakisi, Elsie Amaley","M.B., Ch.B. ( UDS-SMHS)",Tamale Teaching Hospital,"P. O. Box TL 16, Tamale"
"Abankwa, Nana Ama Durowaah","M.B., Ch.B (KNUST-SMS)",The Trust Hospital,
