n,name,street address,postal_address,road,ghana_gps_address,locality/area,district,region,country,latitude,longitude,rating,local_phone_number,international_phone_number,website,google_maps_url,type,photo_link,
0,Gpha Clinic,"18 J. De Graft-Johnson Ave, Takoradi, Ghana",,J. De Graft-Johnson Ave,WS-297-1452,"Near Naval Base, Takoradi",Sekondi-Takoradi,Western Region Ghana,Ghana,4.8886812,-1.7510453,4.5,,,,Https://Maps.Google.Com/?Cid=4653126779374078737,Hospital,,
1,Effia-Nkwanta Regional Hospital,"Blood Bank Cl, Ghana","P.O.Box 229, Sekondi",Sekondi Road Takoradi,WS-095-5834,Fijai Junction,Sekondi-Takoradi,Western Region Ghana,Ghana,4.9238955,-1.7446037,3.5,244252155,,,Https://Maps.Google.Com/?Cid=6377734661681524623,Hospital,,
2,Cornerstone Specialist Clinic,12 Maani Ave Takoradi Ghana,P.O Box MC 2466 Takoradi,"Maani Ave, Takoradi, Ghana",WS-447-5496,12 Maani Avenue Takoradi,,Western Region Ghana,Ghana,4.9312155,-1.7806977,,202930531,+233202930531,,Https://Maps.Google.Com/?Cid=11512948487396974042,Hospital,,
3,Kwesimintim Poly Clinic,"Episode Ave, Takoradi, Ghana",P.O Box 0603,Episode Avenue,WS-500-1887,Sawmill Takoradi,Sekondi-Takoradi,Western Region Ghana,Ghana,4.912779,-1.7823329,4,312023398,,,Https://Maps.Google.Com/?Cid=4124963363006875343,Hospital,,
4,Aiyinasi Clinic,"Agona - Elubo Rd, Aiyinase, Ghana",,Agona - Elubo Rd,WE-1898-2081,Aiyinase,Ellembelle,Western Region Ghana,Ghana,5.0431633,-2.464939,4.7,,,http://c4cmedicals.com/,Https://Maps.Google.Com/?Cid=4747015942770775123,Hospital,,
5,C4C Homeopathic Hospital,"FJ 14 Alley, Sekondi-Takoradi, Ghana",,FJ 14 Alley,WS-156-9290,Sekondi-Takoradi,Sekondi-Takoradi,Western Region Ghana,Ghana,4.9399349,-1.7520564,,500040328,+233500040328,Http://Www.C4Cmedicals.Com/,Https://Maps.Google.Com/?Cid=5242051256013578059,Hospital,,
6,Egyambra Community Clinic,Egyambraahanta West Ghana,,,WH-2232-7932,Egyambraahanta West,Ahanta West,Western Region Ghana,Ghana,4.8201947,-2.1703349,,,,,Https://Maps.Google.Com/?Cid=425138468288190254,Hospital,,
7,Dohamm Clinic,"128 E Akufo-Addo Rd, Takoradi","P.O. Box MC 1702,Takoradi",Akuffo-Addo Road,WS-447-6977,Anaji,Sekondi-Takoradi,Western Region Ghana,Ghana,4.9303812,-1.7800182,3,,,,Https://Maps.Google.Com/?Cid=14400405058364957456,Hospital,,
8,Aseda Clinic,2 Asankragua - Bogoso Rd Prestea, P.O Box 623 ,Asankragua - Bogoso Road Prestea,WP-0141-3801,Bogoso Central,Prestea Huni-Valley,Western Region Ghana,Ghana,5.5842946,-2.0374489,3.3,276746648/0274902868,+233209054727,,Https://Maps.Google.Com/?Cid=10572253386427870349,Hospital,,
9,Wara Clinc Takoradi,"8 Moses Baiden Cres, Takoradi, Ghana",,Moses Baiden Cres,WS-348-9770,Takoradi,Sekondi-Takoradi,Western Region Ghana,Ghana,4.8849675,-1.7608062,,312033831,+233312033831,Http://Www.Westafrican-Rescue.Com/,Https://Maps.Google.Com/?Cid=15185367647114576207,Hospital,http://ghana.westafrican-rescue.com/getattachment/Contact-Us/Takoradi-Clinic-map-(1).jpg.aspx?width=545&height=545,
10,Pentecost Hospital Tarkwa,Tarkwa - Esiama Rd Tarkwa Ghana,,Tarkwa - Esiama Road Tarkwa,WT-0004-0163,Adjacent Pentecost International Worship Center,Tarkwa Nsuaem,Western Region Ghana,Ghana,5.3080746,-1.994207,4.8,208354802,+233208354802,,Https://Maps.Google.Com/?Cid=10187214194232661781,Hospital,,
11,Aunty Mathar Clinic,Tarkwa - Esiama Rd Afuanta Ghana,,Tarkwa - Esiama Road Afuanta,WT-0007-2641,Fiaseman Rural Bank Area,Tarkwa Nsuaem,Western Region Ghana,Ghana,5.2980836,-1.9885979,,,,,Https://Maps.Google.Com/?Cid=14218696543246717553,Hospital,,
12,St. Edward Clinic,Bogoso - Tarkwa Rd,"P. O. Box 19, Bogoso.",Bogoso-Tarkwa Rd,WP-0002-5184,"Adjacent Assemblies of God, Bogoso",Prestea Huni Valley,Western Region Ghana,Ghana,5.5700017,-2.0098945,,,,,Https://Maps.Google.Com/?Cid=17196602215695819946,Hospital,,
